Qatar,12393,17.76,17538,19363,23534,31734,42463,52722,57294,69051,92541,128181,161313,170858,178953,192077,192214,212121,232669,251129,267515,169184,180883
Romania,35729,37.06,40188,45825,59506,75487,98566,121901,157647,184456,160674,166.01,211.43,243392,274083,174922,183.37,196786,211094,225.12,242889,287279,314876
Russia,195907,259702,306583,345486,431429,591861,763878,979048,1166.56,1344.54,1254.65,1363.98,1706.34,1896.68,2127.58,1235.86,1178.92,1309.27,1447.26,1613.84,1791.79,1647.57,1703.53
Rwanda,1909,1794,1704,1732,1684,1835,2153,2397,2684,2986,5011,5.32,6182,6697,7251,8468,9228,10091,11105,12132,13335,10395,11035
Samoa,218,0.22,232,256,284,309,0.34,365,387,412,567,595,673,717,769,867,0.9,912,941,976,1016,0.78,808
São Tomé and Príncipe,47,46,48,54,59,64,72,79,0.09,98,189,197,221,237,258,326,356,382,413,453,0.5,534,573
Saudi Arabia,161172,188693,183257,188803,214859,250673,309945,348604,354924,377193,379.5,442765,514836,556532,601387,632073,643234,694517,749201,799.75,848557,842588,876148
Senegal,5151,4693,4882,5352,6828,7958,8615,9242,10359,11237,12.61,13517,15422,16412,17473,13988,15197,16744,18504,20464,22828,27576,30039
Serbia,0,8963,11759,15831,20.34,24518,26232,31589,35967,38516,42385,44592,51111,55836,61.11,36555,37.74,39804,42946,46258,50031,60669,65697
Seychelles,623,615,622,698,706,0.7,723,749,698,727,656,791,931,1011,1084,1375,1471,1555,1649,1738,1825,1288,1751
Sierra Leone,669,636,806,936,991,1073,1215,1419,1514,1641,2064,2189,2534,2704,2871,4266,4563,4918,5.37,5865,6373,4407,4587
Singapore,82611,92717,85485,88068,92.35,107405,116704,132155,146.09,157568,163132,178.64,195882,205994,216372,293959,308716,328299,348796,370063,394977,378645,396995
Slovak Republic,20602,20374,21108,24522,33005,42015,47428,54969,69279,78303,88296,96365,109056,115.61,122589,86198,90544,96151,101932,107913,115111,116748,127497
Slovenia,26753,22688,21841,23664,28819,32738,34407,37.34,41125,43955,49551,51.52,57379,60311,63417,42736,44015,46062,48168,50312,52951,60.89,65475
Solomon Islands,332,299,274,228,231,265,294,321,354,393,668,717,896,1002,1086,1205,1289,1386,1492,1611,1751,1649,1798
South Africa,133105,132964,118563,111.13,166655,216772,241933,255155,271779,291.38,277379,286357,314635,331801,349581,317285,326541,340529,357046,374482,394715,415315,435212
Spain,618691,582377,609631,688676,884908,1044.51,1127.98,1225.75,1359.11,1454.35,1438.36,1475.49,1506.20,1534.01,1567.79,1221.39,1265.12,1318.83,1372.18,1427.74,1497.67,1439.96,1570.91
Sri Lanka,15657,16332,15746,16536,18246,20055,23534,26794,30875,34218,41323,38347,44443,47671,51097,79524,86302,94209,102841,112264,122.55,80785,83315
St. Kitts and Nevis,305,0.33,345,355,366,406,442,487,523,557,547,559,0.6,624,0.65,889,0.93,974,1.02,1068,1117,976,1092
St. Lucia,671,685,664,682,716,763,882,933,1009,1084,991,1015,1119,1187,1.26,1438,1498,1565,1632,1702,1767,1715,1998
St. Vincent and the Grenadines,332,335,345,365,382,408,0.43,466,507,555,625,645,733,777,826,765,794,828,866,905,944,769,855
Sudan,10723,12365,13.38,14976,17.78,21691,27895,37564,47156,58003,54294,64965,80811,90739,98222,84331,85222,93817,101047,109358,117403,35919,37769
Suriname,886,0.89,764,1.08,1271,1493,1778,2112,2234,2347,3147,3453,4514,5386,6259,5.05,5187,5744,6251,6738,7266,2817,2937
Swaziland,1377,1.39,1261,1194,1907,2386,2609,2637,2726,2788,2929,3038,3209,3304,3402,4305,4357,4445,4555,4657,4787,0,0
Sweden,253881,242792,221879,244314,304854,349557,358481,385293,423649,442788,397703,437342,495682,521545,547595,483724,499179,519636,541467,562124,585743,622365,660918
Switzerland,265.23,246322,250.57,277113,323065,360152,366514,377.24,389405,397.49,484132,498268,514088,520368,525688,676979,687591,707527,727226,746.28,770927,810.83,862819
Syrian Arab Republic,16834,19861,21017,22.78,22719,24703,27369,31505,34965,36815,54352,61289,74323,81836,90182,0,0,0,0,0,0,0,0
Taiwan Province of China,298825,321374,291889,294876,299606,322299,346651,355708,365317,389991,357344,385165,443539,466126,488158,518816,540073,565374,591253,618101,650902,785589,850528
Tajikistan,1087,991,1057,1212,1555,2073,2311,2811,3141,3457,4577,4821,6342,7325,8713,8045,7.97,8589,9328,10182,11111,8104,8756
Tanzania,8635,9079,9443,9792,10276,11339,12607,12787,14106,15599,22159,23662,27901,30515,33392,46192,46873,50347,54761,59349,64145,69238,74536
Thailand,122.63,122725,115536,126877,142.64,161349,176222,206258,219436,236.59,266434,282351,322009,347815,375689,373536,393019,411266,432409,454082,473997,546223,585586
Timor-Leste,0.27,316,368,343,336,339,0.35,356,493,0.53,599,706,967,1136,1337,0,0,0,0,0,0,0,0
Togo,1529,1299,1334,1479,1677,1.94,2112,2.21,2.39,2589,2771,2927,3247,3409,3603,4152,4499,4918,5367,5836,6394,8493,9357
Tonga,155,158,142,143,159,182,215,224,234,247,259,277,314,332,352,443,473,507,531,558,574,501,0.54
Trinidad and Tobago,6808,8157,9505,9709,12022,13527,16212,19935,21702,24276,23002,26039,32868,35857,38656,27668,28321,30022,31906,33896,36113,21599,23082
Tunisia,20.76,19456,19988,21054,25,28129,28959,30.62,33697,36828,39573,42033,46.93,49.8,53775,44272,44584,45629,46962,50171,53537,42733,45454
Turkey,181.69,198.23,143096,182973,240596,302561,362461,392424,432512,455538,593533,590701,638419,673753,710833,722219,721167,761.44,804563,851773,905844,795952,844534
Turkmenistan,3857,5022,6933,8.7,11424,14196,17174,21846,26215,31732,0,0,0,0,0,44362,51271,58193,65462,73974,83993,53087,60263
Uganda,6008,5.91,5.65,5835,6243,6817,8734,9443,10492,11275,15658,16739,19648,21451,22991,24943,26631,29258,31577,34188,37688,43243,47
Ukraine,31569,31262,38009,42393,50133,64883,86044,106072,122802,137667,115706,119701,145757,160619,175949,90138,93812,104307,115455,125991,137856,181038,203925
United Arab Emirates,55181,70221,68677,75285,88579,103784,130256,168263,185949,207939,228578,256179,298848,326175,356668,339085,356219,382619,410422,438118,468902,410158,427.93
United Kingdom,1467.03,1445.19,1435.63,1574.47,1814.64,2155.16,2230.61,2373.69,2660.66,2822.66,2198.16,2353.03,2611.27,2758.80,2919.12,2864.90,3054.84,3232.28,3425.54,3616.82,3851.98,3108.42,3442.21
United States,9268.43,9816.98,10127.95,10469.60,10960.75,11712.48,12455.83,13244.55,13770.31,14418.48,14266.20,14704.21,16008.51,16729.38,17419.35,17968.20,18697.92,19555.87,20493.25,21404.19,22294.11,22939.58,24796.08
Uruguay,20913,20086,18561,12089,11211,13268,16878,19221,20725,22211,31606,33864,47355,54388,63167,54968,57151,59943,63134,66532,70107,60108,63741
Uzbekistan,17041,13717,11632,9657,10129,12001,13.67,16088,18.84,21727,30321,34232,44892,51125,58224,65953,68699,73457,78.31,83478,88986,65503,72762
Vanuatu,251,245,235,0.23,0.28,0.33,368,387,421,451,554,602,692,747,804,771,832,891,949,1002,1057,999,1.06
Venezuela,97977,117153,122872,92889,83442,112.8,143443,181608,219372,231959,353469,379.16,394106,403123,409562,131855,133534,144227,155096,170.41,184364,44893,43546
Vietnam,28684,31196,32504,35148,39.63,45548,53053,60995,68298,76414,91764,102906,123505,135729,148914,198805,214.75,229845,247415,265987,287257,368002,415493
Yemen,7.53,9561,9533,9985,11869,13565,15193,18.7,21657,24504,26236,31.98,37153,40003,42687,0,0,0,0,0,0,0,0
Zambia,3132,3238,3.64,3775,4326,5.44,7271,10942,10104,10519,12293,15792,20208,21829,23613,24466,25158,27.17,29911,32957,36316,21699,23967
